Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Homo Floresiensis;0.09561328;Asia ;oriental;Indonesia;peninsular;40.521.693;9.209.217;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Floresiensis;0.47300951;Asia ;oriental;Indonesia;peninsular;1.514.154;10.690.028;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;259.780.641;Africa;oriental;Ethiopia;mixed;41.955.823;12.467.842;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
hominino Ardipithecus ramidus / kabadda;40.012.227;Africa;oriental;Ethiopia;mixed;21.158.852;11.505.333;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rudolfensis;238.561.264;Africa;oriental;Kenya;savannah;74.089.596;13.295.943;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Ergaster;13.613.108;Africa;oriental;Kenya;savannah;70.483.575;15.291.927;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Sahelanthropus tchadensis;693.287.689;Africa;central;Republic of Chad;mixed;27.488.231;961.717;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Sediba;202.185.849;Africa;south;South Africa;mixed;48.987.297;10.447.612;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Sediba;185.499.348;Africa;south;South Africa;mixed;44.775.133;10.056.443;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Rudolfensis;279.096.796;Africa;oriental;Kenya;savannah;77.389.479;12.640.255;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Rudolfensis;297.881.024;Africa;oriental;Kenya;savannah;66.223.585;13.407.793;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Erectus;164.931.066;Asia ;west;Indonesia;savannah;103.096.013;16.104.807;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Sediba;208.714.928;Africa;south;South Africa;mixed;4.426.583;10.688.199;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Africanus;362.241.969;Africa;south;South Africa;forest-gallery;49.606.453;11.190.111;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Rodhesiensis;0.47435386;Africa;oriental;Ethiopia;savannah;124.595.841;14.118.947;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Naledi;0.00341316;Africa;south;South Africa;jungle;41.115.297;12.703.654;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Boisei;27.422.201;Africa;oriental;Ethiopia;forest;38.939.607;11.200.556;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Boisei;237.512.361;Africa;oriental;Ethiopia;forest;35.120.128;11.660.393;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;0.95298473;Europa;west;Spain;savannah;99.963.176;16.003.214;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Georgicus;244.508.435;Asia ;west;Georgia;savannah;7.364.606;14.838.941;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Ardipithecus ramidus / kabadda;370.179.236;Africa;oriental;Ethiopia;mixed;37.209.394;10.853.431;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rodhesiensis;0.66771933;Africa;oriental;Ethiopia;savannah;110.890.331;15.402.518;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Rudolfensis;223.795.169;Africa;oriental;Kenya;savannah;71.796.622;13.085.293;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Georgicus;215.650.834;Asia ;west;Georgia;savannah;86.174.063;1.480.892;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Georgicus;219.196.428;Asia ;west;Georgia;savannah;77.174.115;1.462.849;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Afarensis;384.027.634;Africa;oriental;Kenya;mixed;42.876.317;1.204.317;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Sediba;24.907.746;Africa;south;South Africa;mixed;29.718.657;1.025.543;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Ergaster;169.159.176;Africa;oriental;Kenya;savannah;99.436.499;1.515.891;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Boisei;280.450.828;Africa;oriental;Ethiopia;forest;44.624.413;10.043.626;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Bahrelghazali;400.413.988;Africa;central;Republic of Chad;mixed;2.726.152;12.773.668;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Australopithecus Africanus;382.098.454;Africa;south;South Africa;forest-gallery;42.063.577;1.109.498;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Paranthropus Boisei;249.379.967;Africa;oriental;Ethiopia;forest;50.002.644;10.059.538;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Sediba;200.733.594;Africa;south;South Africa;mixed;34.517.796;11.574.304;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Garhi;244.489.926;Africa;oriental;Ethiopia;mixed;24.818.023;11.945.903;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Rodhesiensis;0.95415133;Africa;oriental;Ethiopia;savannah;103.205.008;14.986.527;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Sediba;210.281.507;Africa;south;South Africa;mixed;34.010.024;10.930.991;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Paranthropus Aethiopicus;313.924.862;Africa;oriental;Kenya;forest-savanna;57.878.957;11.560.549;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;182.140.684;Asia ;west;Indonesia;savannah;99.374.889;15.836.033;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Garhi;269.211.735;Africa;oriental;Ethiopia;mixed;49.748.781;12.403.345;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Naledi;0.97552038;Africa;south;South Africa;jungle;21.035.056;1.286.145;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Boisei;294.906.129;Africa;oriental;Ethiopia;forest;48.321.352;11.847.866;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Sahelanthropus tchadensis;683.300.899;Africa;central;Republic of Chad;mixed;3.342.806;9.111.988;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Sediba;166.980.849;Africa;south;South Africa;mixed;38.689.106;11.300.975;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Bahrelghazali;381.368.533;Africa;central;Republic of Chad;mixed;42.134.307;12.875.909;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Sapiens;0.48718992;Africa;oriental;Kenya;savannah;134.530.692;16.238.435;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Bahrelghazali;339.087.067;Africa;central;Republic of Chad;mixed;28.289.681;12.000.624;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Rodhesiensis;114.031.032;Africa;oriental;Ethiopia;savannah;98.144.051;14.912.024;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Sediba;206.941.588;Africa;south;South Africa;mixed;37.377.234;11.695.935;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Bahrelghazali;419.561.829;Africa;central;Republic of Chad;mixed;18.272.293;11.981.039;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Australopithecus Afarensis;457.006.322;Africa;oriental;Kenya;mixed;26.163.466;13.668.159;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Ergaster;173.257.217;Africa;oriental;Kenya;savannah;77.009.779;16.507.137;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Antecesor;150.496.883;Europa;west;Spain;savannah;9.179.336;16.459.947;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
hominino Ardipithecus ramidus / kabadda;450.301.733;Africa;oriental;Ethiopia;mixed;4.498.352;11.025.901;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rodhesiensis;0.31461552;Africa;oriental;Ethiopia;savannah;11.024.282;15.444.619;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Bahrelghazali;411.191.641;Africa;central;Republic of Chad;mixed;33.995.063;12.729.636;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Boisei;240.486.147;Africa;oriental;Ethiopia;forest;47.664.681;11.400.271;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Aethiopicus;268.808.732;Africa;oriental;Kenya;forest-savanna;58.277.811;11.660.368;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Sediba;220.806.236;Africa;south;South Africa;mixed;41.590.377;11.203.409;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Paranthropus Boisei;246.702.254;Africa;oriental;Ethiopia;forest;36.385.636;10.687.998;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Heidelbergensis;0.52465198;Europa;central;Germany;cold forest;128.341.205;16.516.661;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Rodhesiensis;0.33427856;Africa;oriental;Ethiopia;savannah;118.997.311;14.129.711;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Antecesor;115.025.499;Europa;west;Spain;savannah;112.920.132;16.547.193;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Anamensis;42.405.483;Africa;oriental;Kenya;forest-gallery;23.836.319;11.802.861;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Boisei;252.472.573;Africa;oriental;Ethiopia;forest;59.416.374;10.098.687;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;155.035.117;Europa;west;Spain;savannah;106.952.257;16.992.902;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Habilis;266.476.668;Africa;oriental;Ethiopia;savannah;79.976.507;12.114.727;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Georgicus;21.331.892;Asia ;west;Georgia;savannah;76.283.682;1.459.463;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Africanus;372.057.595;Africa;south;South Africa;forest-gallery;55.359.603;10.278.212;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Rodhesiensis;0.93088345;Africa;oriental;Ethiopia;savannah;102.244.051;14.742.164;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Paranthropus Boisei;252.634.331;Africa;oriental;Ethiopia;forest;56.871.765;11.961.569;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Boisei;282.448.237;Africa;oriental;Ethiopia;forest;59.739.751;10.485.749;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Aethiopicus;252.990.359;Africa;oriental;Kenya;forest-savanna;56.678.551;11.170.269;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Naledi;0.64589385;Africa;south;South Africa;jungle;284.151;13.785.529;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Africanus;383.882.549;Africa;south;South Africa;forest-gallery;45.612.204;1.096.948;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Africanus;376.566.932;Africa;south;South Africa;forest-gallery;40.180.849;11.702.494;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Anamensis;434.233.862;Africa;oriental;Kenya;forest-gallery;27.102.555;11.419.054;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Rudolfensis;278.357.213;Africa;oriental;Kenya;savannah;60.428.768;13.390.712;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Floresiensis;0.41116117;Asia ;oriental;Indonesia;peninsular;19.911.018;10.593.655;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Aethiopicus;291.638.886;Africa;oriental;Kenya;forest-savanna;53.908.927;10.651.891;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Bahrelghazali;355.518.532;Africa;central;Republic of Chad;mixed;1.785.632;1.199.386;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Australopithecus Bahrelghazali;394.107.746;Africa;central;Republic of Chad;mixed;4.011.425;12.517.831;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Australopithecus Sediba;160.475.092;Africa;south;South Africa;mixed;40.562.936;10.094.021;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Paranthropus Robustus;193.696.634;Africa;south;South Africa;jungle;61.051.642;12.802.528;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;0.90620204;Europa;west;Spain;savannah;98.912.249;16.329.293;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Bahrelghazali;325.217.468;Africa;central;Republic of Chad;mixed;41.182.366;12.700.273;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Aethiopicus;255.820.489;Africa;oriental;Kenya;forest-savanna;52.474.779;11.925.457;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Floresiensis;0.90962712;Asia ;oriental;Indonesia;peninsular;43.390.424;9.491.545;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Rodhesiensis;0.82750467;Africa;oriental;Ethiopia;savannah;11.895.232;14.712.083;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
hominino Sahelanthropus tchadensis;680.554.966;Africa;central;Republic of Chad;mixed;22.656.719;9.262.543;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rodhesiensis;113.940.401;Africa;oriental;Ethiopia;savannah;107.090.866;14.639.763;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Naledi;0.03688057;Africa;south;South Africa;jungle;46.117.465;12.468.664;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Africanus;336.084.399;Africa;south;South Africa;forest-gallery;6.624.508;10.809.604;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Floresiensis;0.81918669;Asia ;oriental;Indonesia;peninsular;34.816.032;9.094.022;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Rodhesiensis;0.30397505;Africa;oriental;Ethiopia;savannah;104.713.875;1.588.525;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Anamensis;400.467.547;Africa;oriental;Kenya;forest-gallery;34.271.235;12.201.674;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Aethiopicus;277.011.412;Africa;oriental;Kenya;forest-savanna;34.574.277;11.236.603;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;209.181.671;Africa;south;South Africa;jungle;395.384;12.124.584;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Heidelbergensis;0.72024294;Europa;central;Germany;cold forest;136.813.567;16.932.296;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Ergaster;157.511.399;Africa;oriental;Kenya;savannah;96.371.825;1.519.894;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Garhi;290.507.385;Africa;oriental;Ethiopia;mixed;31.044.072;11.009.446;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Floresiensis;0.68978927;Asia ;oriental;Indonesia;peninsular;30.947.668;10.036.471;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Habilis;313.227.658;Africa;oriental;Ethiopia;savannah;8.249.924;12.701.351;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Heidelbergensis;110.359.563;Europa;central;Germany;cold forest;120.116.002;17.317.086;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Australopithecus Sediba;256.872.482;Africa;south;South Africa;mixed;50.292.444;11.404.255;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Naledi;0.54964392;Africa;south;South Africa;jungle;41.770.611;13.353.137;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Ergaster;213.591.129;Africa;oriental;Kenya;savannah;93.385.677;16.722.818;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Habilis;249.931.878;Africa;oriental;Ethiopia;savannah;88.992.622;13.442.636;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Australopithecus Anamensis;476.932.583;Africa;oriental;Kenya;forest-gallery;34.824.564;11.620.041;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Rudolfensis;274.092.374;Africa;oriental;Kenya;savannah;57.728.598;13.659.302;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Habilis;301.503.156;Africa;oriental;Ethiopia;savannah;85.446.412;13.615.964;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Antecesor;167.940.812;Europa;west;Spain;savannah;114.771.918;17.896.026;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Rodhesiensis;0.34560489;Africa;oriental;Ethiopia;savannah;110.632.272;14.541.505;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Paranthropus Aethiopicus;298.310.727;Africa;oriental;Kenya;forest-savanna;37.077.889;10.228.132;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Garhi;231.381.133;Africa;oriental;Ethiopia;mixed;3.403.284;11.702.811;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Paranthropus Boisei;276.546.662;Africa;oriental;Ethiopia;forest;63.690.935;11.872.797;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Naledi;0.66016429;Africa;south;South Africa;jungle;49.554.537;1.287.847;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Ergaster;128.910.884;Africa;oriental;Kenya;savannah;92.614.373;1.651.503;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
